January - December 2017,ARIZONA,ENGLEWOOD,Income,TOTAL
1 Gallon PaintCare Fees,,13963.5,,13963.5
5 Gallon PaintCare Fees,,6696,,6696
Collection Fee Income,42552.72,,,42552.72
Metal Recycling Income,,5776.95,,5776.95
Out of State Sales,,26274.03,,26274.03
Plastic Recycling Income,,1503.6,,1503.6
Recycling,5747,797335.78,,803082.78
Sales,,24831.46,,24831.46
Shipping Income,,-2806,,-2806
Transport Income,,147141.21,,147141.21
Wholesale Sales,2435.56,1003425.79,,1005861.35
Total Income,"$50,735.28","$2,024,142.32",$0.00,2074877.6
"Cost of Goods Sold
Contract Labor",5392,108501.83,,113893.83
Cost of Goods Sold,,249860.07,,249860.07
Equipment Rental & Repair,142.81,19457.89,,19600.7
Purchases,270,0,2905.94,3175.94
"Shipping, Delivery Expense",465.15,199621.13,150,200236.28
Warehouse Staff Taxes,,21184.9,,21184.9
Warehouse Staff Wages,,252685.51,,252685.51
Total Cost of Goods Sold,"$6,269.96","$851,311.33","$3,055.94",860637.23
GROSS PROFIT,"$44,465.32","$1,172,830.99","-$ 3,055.94",1214240.37
"Expenses
Advertising",1101.39,18535.62,,19637.01
Auto Expense,16615.56,32538.59,,49154.15
Bad Debts,,2382.45,,2382.45
Bank Charges,,,,0
Bank Fees,10.5,205.64,,216.14
Point of Sale Fee,,853.2,,853.2
QuickBooks Payments Fees,,2402.68,,2402.68
Total Bank Charges,10.5,3461.52,,3472.02
Boat Repairs & Maintanance,,5201.34,,5201.34
Charitable Contribution,,1850,,1850
Company Events,,2456.65,,2456.65
Depreciation Expense,,,68404,68404
Dues & Subscriptions,229,906.17,,1135.17
Equipment <$2500,,,500,500
Insurance,,,,0
Auto,2624.51,5707.59,,8332.1
Health,,10686.19,,10686.19
Insurance - Liability,4243.74,,,4243.74
Workers Comp,,4627.27,,4627.27
Total Insurance,6868.25,21021.05,,27889.3
Legal & Professional Fees,,12511.35,,12511.35
Meals and Entertainment,437.14,45899.25,,46336.39
Office Expenses,,,,0
Computer and Internet,1731.24,4377.89,,6109.13
Office Supplies,1068.99,7160.04,,8229.03
Rent or Lease,99788.26,163535.35,,263323.61
Repair & Maintenance,474.14,31749.24,,32223.38
Stationery & Printing,113.22,202,,315.22
Telephone,,4497.27,,4497.27
Utilities,6839.59,25945.82,,32785.41
Total Office Expenses,110015.44,237467.61,,347483.05
Payroll Expenses,,,,0
Admin Taxes,,3774.69,,3774.69
Admin Wages,,35099.99,,35099.99
Officer Taxes,,23279.53,,23279.53
Officer Wages,,236387.25,,236387.25
Payroll Processing Fees,,2535.63,,2535.63
Sales Staff Taxes,7050.17,,,7050.17
Sales Staff Wages,89130.09,,,89130.09
Total Payroll Expenses,96180.26,301077.09,,397257.35
Pension Benefit Expense,,5520,,5520
Small Tools,222.33,,,222.33
Supplies,3237.79,,,3237.79
Taxes & Licenses,1241.03,617.59,,1858.62
Travel,,47671.85,,47671.85
Travel Meals,,1571.95,,1571.95
Washington Expansion,,2560.54,,2560.54
Total Expenses,"$236,158.69","$743,250.62","$68,904.00",1048313.31
NET OPERATING INCOME,"-$ 191,693.37","$429,580.37","-$ 71,959.94",165927.06
"Other Income
Interest Earned",,0.53,,0.53
Other Income,,,26151.8,26151.8
Total Other Income,$0.00,$0.53,"$26,151.80",26152.33
"Other Expenses
Interest Expense",,668.23,,668.23
Loss on Sale of Property,,0,,0
Sales Tax Adjustment,,40.63,0,40.63
Total Other Expenses,$0.00,$708.86,$0.00,708.86
NET OTHER INCOME,$0.00,-$ 708.33,"$26,151.80",25443.47
NET INCOME,"-$ 191,693.37","$428,872.04","-$ 45,808.14",191370.53
