January - December 2018,ARIZONA,ENGLEWOOD,WASHINGTON,Income,TOTAL
1 Gallon PaintCare Fees,,16497.75,-13.5,,16484.25
5 Gallon PaintCare Fees,,7390,,,7390
Collection Fee Income,217507.42,1655.2,52164.84,,271327.46
Metal Recycling Income,1004.51,16575.71,,,17580.22
Out of State Sales,301,88534.7,,,88835.7
Recycling,1327.8,1214079.2,114145.28,,1329552.28
Sales,365.83,48548.71,,,48914.54
Transport Income,,92027.86,,,92027.86
Uncategorized Income,10485.72,,,,10485.72
Wholesale Sales,1467.26,1215091.67,,,1216558.93
Total Income,"$232,459.54","$2,700,400.80","$166,296.62",$0.00,3099156.96
"Cost of Goods Sold
Contract Labor",37002.25,290616.61,1577.56,,329196.42
Cost of Goods Sold,1174.41,9447.55,21946.54,,32568.5
Equipment Rental & Repair,695.31,21918.18,58.5,,22671.99
Purchases,,0,,,0
"Shipping, Delivery Expense",231.1,172719.03,16923.93,,189874.06
Warehouse Staff Taxes,,33199.97,,,33199.97
Warehouse Staff Wages,,375499.27,,,375499.27
Total Cost of Goods Sold,"$39,103.07","$903,400.61","$40,506.53",$0.00,983010.21
GROSS PROFIT,"$193,356.47","$1,797,000.19","$125,790.09",$0.00,2116146.75
"Expenses
Advertising",609.92,14844.72,68.11,,15522.75
Auto Expense,18169.08,36585.26,1468.06,,56222.4
Bank Charges,,,,,0
Bank Fees,23,721.42,28,,772.42
Point of Sale Fee,,592.59,,,592.59
QuickBooks Payments Fees,,2977.24,714.95,,3692.19
Total Bank Charges,23,4291.25,742.95,,5057.2
Boat Repairs & Maintanance,,2124.68,,,2124.68
Charitable Contribution,,60,,,60
Company Events,74,5677.73,47.89,,5799.62
Dues & Subscriptions,,4294.96,,,4294.96
Employee Medical Expenses,,30,,,30
Equipment <$2500,2858.26,8863.25,65.08,,11786.59
Insurance,,,,,0
Auto,2144.09,434.2,,,2578.29
Health,,10090.83,,,10090.83
Insurance - Liability,4529.92,14258.35,,,18788.27
Workers Comp,,6604.8,,,6604.8
Total Insurance,6674.01,31388.18,,,38062.19
Sales,,,40677,,40677
Legal & Professional Fees,,15082.3,,,15082.3
Meals and Entertainment,317.17,40343.43,330.55,,40991.15
Office Expenses,,,,,0
Computer and Internet,1545.6,6329.58,1593.52,,9468.7
Office Supplies,729.3,9074.57,139.87,,9943.74
Rent or Lease,100325.64,206155.61,140250,,446731.25
Repair & Maintenance,473.43,12562.99,953.97,,13990.39
Stationery & Printing,79.95,,,,79.95
Telephone,,4613.89,,,4613.89
Utilities,17709.36,66169.21,,,83878.57
Total Office Expenses,120863.28,304905.85,142937.36,,568706.49
Payroll Expenses,,,,,0
Admin Taxes,,3862.12,,,3862.12
Admin Wages,,49961.74,,,49961.74
Officer Taxes,,17777.71,,,17777.71
Officer Wages,,247000,,,247000
Payroll Processing Fees,,3244.34,,,3244.34
Sales Staff Taxes,6193.97,,3816.78,,10010.75
Sales Staff Wages,89130.08,,49892.29,,139022.37
Total Payroll Expenses,95324.05,321845.91,53709.07,,470879.03
Pension Benefit Expense,,5720,,,5720
Small Tools,443.34,29.98,827.26,,1300.58
Taxes & Licenses,392.12,24710.46,3209.28,,28311.86
Travel,,63893.29,,,63893.29
Travel Meals,46.29,20281.35,761.94,,21089.58
Uncategorized Expense,251.17,200,,,451.17
Total Expenses,"$246,045.69","$905,172.60","$244,844.55",$0.00,1396062.84
NET OPERATING INCOME,"-$ 52,689.22","$891,827.59","-$ 119,054.46",$0.00,720083.91
"Other Income
Interest Earned",,7.84,,,7.84
Total Other Income,$0.00,$7.84,$0.00,$0.00,7.84
"Other Expenses
Interest Expense",,1019.3,,,1019.3
Sales Tax Adjustment,,2331.3,,0,2331.3
Total Other Expenses,$0.00,"$3,350.60",$0.00,$0.00,3350.6
NET OTHER INCOME,$0.00,"-$ 3,342.76",$0.00,$0.00,-3342.76
NET INCOME,"-$ 52,689.22","$888,484.83","-$ 119,054.46",$0.00,716741.15
